id;name
1;B.A.
2;B.Sc.
3;Msc
4;Diplom für Kindergartenlehrer/in:
5;Diplom für Primarlehrer/in
6;Diplom für Sekundarlehrer/in I
7;Diplom für Sekundarlehrer/in II
8;Diplom für Berufsschullehrer/in
9;Diplom für Gymnasiallehrer/in
10;Sonderpädagogik-Diplom
11;Diplom für Heilpädagogik


