id;name;description
1;Bestätigung;dem Kandidaten wird eine Bestätigung geschickt, dass seine Bewerbunge eingegangen ist
2;Ablehnung;die Bewerung wird abgelehnt
3;Annahme;die Bewerbung wird angenommen
