id;school;name;level
1;3;I103;7
2;3;I101;7
3;4;I208;7
4;4;I207;7
5;1;S04;7
6;2;F04;7
7;3;I107;7
8;1;S01;7
9;2;F03;7
10;1;S05;7
11;1;S07;7
12;4;I202;7
13;4;I201;7
14;1;S06;7
15;2;K+01;7
16;4;I205;7
17;1;S02;7
18;1;S08;7
19;2;F02;7
20;2;K01;7
21;3;I102;7
22;1;I109;7
23;4;I204;7
24;4;I211;7
25;3;I106;7
26;3;I105;7
27;4;I206;7
28;2;F01;7
29;2;I210;7
30;2;I209;7
31;2;F05;7
32;4;I203;7
33;2;LB;7
34;3;I108;7
35;3;I104;7
36;1;S03;7
37;2;F06;7
