id;start_time;end_time;time_of_day
1;07:30;08:15;1
2;08:30;09:15;1
3;09:30;10:15;1
4;10:45;11:30;1
5;11:45;12:30;1
6;13:30;14:15;2
7;14:30;15:15;2
8;15:30;16:15;2
9;16:30;17:15;2
