id,subject_id
SG_AB_I104,SU_AB
SG_WPF_I211_1,SU_WPF
SG_WPF_I211_2,SU_WPF
SG_PO_S08_1,SU_PO
SG_PO_S08_2,SU_PO
SG_PT_I201_2,SU_PT
SG_PT_I201_1,SU_PT
SG_D_K+01,SU_D
SG_BMOT_K+01,SU_BMOT
SG_AB_K+01,SU_AB
SG_M_K+02,SU_M
SG_D_K+01_1,SU_D
SG_BMOT_K+01_1,SU_BMOT
SG_AB_K+01_1,SU_AB
SG_M_K+02_1,SU_M
